year,event_code,event_name,track_slug,race_date,session_directory,position,class_position,car_number,class,category_marker,drivers,team,vehicle,laps,total_time,gap_to_leader,interval,status,best_lap_number,best_lap_time,best_lap_speed_mph,source_report,source_page
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,47,10,20,LMP2,,S. Huffaker / S. Lucas / D. Andersen,MDK by High Class Racing,ORECA LMP2 07,158,4:39:54.686,61 Laps,4,Not Running,139,1:19.102,111.000,03_Results_Race_Official.PDF,2
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,48,19,34,GTD,,C. Sbirrazzuoli / A. Costa Balboa M. Franco,Conquest Racing,Ferrari 296 GT3,156,4:43:23.637,63 Laps,2,Not Running,105,1:24.467,103.950,03_Results_Race_Official.PDF,3
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,49,8,63,GTP,,R. Grosjean / A. Caldarelli M. Cairoli,Lamborghini Iron Lynx,Lamborghini SC63,152,4:24:49.141,67 Laps,4,Not Running,133,1:17.430,113.397,03_Results_Race_Official.PDF,3
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,50,20,21,GTD,,M. Molina / F. Heriau / S. Mann,AF Corse,Ferrari 296 GT3,103,3:20:32.095,Laps,49,Not Running,4,1:26.301,101.741,03_Results_Race_Official.PDF,3
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,51,21,023,GTD,,R. Agostini / C. Scardina O. Triarsi,Triarsi Competizione,Ferrari 296 GT3,82,2:57:32.825,Laps,21,Not Running,4,1:26.432,101.587,03_Results_Race_Official.PDF,3
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,52,9,31,GTP,,T. Blomqvist / J. Aitken / P. Derani,Whelen Cadillac Racing,Cadillac V-Series.R,66,2:10:48.891,Laps,16,Not Running,11,1:17.249,113.663,03_Results_Race_Official.PDF,3
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,53,10,6,GTP,,M. Jaminet / N. Tandy,Porsche Penske Motorsport,Porsche 963,219,6:00:56.997,2.947,1.300,,181,1:16.662,114.533,03_Results_Race_Official.PDF,3
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,54,11,40,GTP,,L. Deletraz / J. Taylor,Wayne Taylor Racing with Andretti,Acura ARX-06,219,6:01:36.484,42.434,23.258,,132,1:16.923,114.145,03_Results_Race_Official.PDF,3
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,55,22,12,GTD,,A. Telitz / P. Thompson F. Montecalvo,VasserSullivan,Lexus RC F GT3,27,50:09.491,Laps,39,Not Running,4,1:25.037,103.253,03_Results_Race_Official.PDF,3
2024,17_Tire Rack.com Battle On The Bricks,Tire Rack.com Battle On The Bricks,tire-rack-com-battle-on-the-bricks,2024-09-22,202409221230_Race,56,13,19,,,L. Engstler / M. Paul,Iron Lynx,Lamborghini Huracan GT3 EVO2,2,3:33.135,Laps,25,Not Running,2,1:26.579,101.414,03_Results_Race_Official.PDF,3
